Team,Year,Off_Eff_FGperc,Off_ORRate,Off_TORate,Off_FTRate,Def_Eff_FGperc,Def_ORRate,Def_TORate,Def_FTRate,wins_82
Phoenix Suns,1998-1999,0.481,0.284,0.144,0.231,0.485,0.302,0.172,0.216,44.28
Philadelphia 76ers,1998-1999,0.439,0.342,0.172,0.276,0.454,0.302,0.189,0.249,45.92
Orlando Magic,1998-1999,0.456,0.326,0.179,0.222,0.473,0.292,0.186,0.181,54.120000000000005
Seattle SuperSonics,1998-1999,0.481,0.319,0.159,0.232,0.489,0.314,0.155,0.213,41.0
New York Knicks,1998-1999,0.463,0.279,0.177,0.241,0.434,0.29,0.166,0.258,44.28
Charlotte Hornets,1998-1999,0.485,0.244,0.166,0.278,0.461,0.305,0.159,0.24,42.64
New Jersey Nets,1998-1999,0.434,0.311,0.153,0.231,0.481,0.303,0.169,0.238,26.240000000000002
Minnesota Timberwolves,1998-1999,0.439,0.325,0.137,0.196,0.467,0.298,0.173,0.276,41.0
Milwaukee Bucks,1998-1999,0.489,0.29,0.158,0.222,0.463,0.324,0.179,0.275,45.92
Miami Heat,1998-1999,0.494,0.273,0.166,0.26,0.439,0.29,0.151,0.226,54.120000000000005
Vancouver Grizzlies,1998-1999,0.447,0.309,0.178,0.263,0.492,0.331,0.167,0.261,13.120000000000001
Los Angeles Lakers,1998-1999,0.498,0.305,0.161,0.261,0.468,0.298,0.149,0.267,50.839999999999996
Los Angeles Clippers,1998-1999,0.454,0.306,0.167,0.22,0.503,0.331,0.168,0.279,14.76
Indiana Pacers,1998-1999,0.486,0.287,0.138,0.253,0.46,0.301,0.142,0.236,54.120000000000005
Houston Rockets,1998-1999,0.506,0.278,0.172,0.228,0.461,0.301,0.141,0.188,50.839999999999996
Golden State Warriors,1998-1999,0.434,0.352,0.161,0.19,0.445,0.296,0.156,0.29,34.44
Detroit Pistons,1998-1999,0.48,0.305,0.169,0.256,0.468,0.28,0.172,0.259,47.559999999999995
Denver Nuggets,1998-1999,0.459,0.301,0.156,0.253,0.499,0.308,0.147,0.248,22.96
